Method,Rep,TrueCos,m,E,Shots,EstCos,AbsErr,Time_s
AE-SWAP,0,0.2,-,-,4096,0.15467960838455727,0.04532039161544274,1.1969311237335205
Phase-Hash (SWAP),0,0.2,128,32,4096,0.13368878521407643,0.06631121478592358,2.1153621673583984
AE-SWAP,0,0.5,-,-,4096,0.465089877066788,0.034910122933211996,1.1553199291229248
Phase-Hash (SWAP),0,0.5,128,32,4096,0.4724923919001496,0.027507608099850422,1.581334114074707
AE-SWAP,0,0.7,-,-,4096,0.6935106569116296,0.006489343088370347,1.302323341369629
Phase-Hash (SWAP),0,0.7,128,32,4096,0.6884129373480095,0.011587062651990498,1.5228734016418457
AE-SWAP,0,0.9,-,-,4096,0.8986752402842754,0.001324759715724655,1.1902387142181396
Phase-Hash (SWAP),0,0.9,128,32,4096,0.8995509434060777,0.00044905659392235897,1.5576848983764648
AE-SWAP,1,0.2,-,-,4096,0.2576941016011038,0.057694101601103776,1.1478946208953857
Phase-Hash (SWAP),1,0.2,128,32,4096,0.1989312420505825,0.0010687579494175203,1.5265827178955078
AE-SWAP,1,0.5,-,-,4096,0.49804304532841337,0.0019569546715866304,1.1318535804748535
Phase-Hash (SWAP),1,0.5,128,32,4096,0.5183683015690224,0.01836830156902236,1.5711085796356201
AE-SWAP,1,0.7,-,-,4096,0.695619665298502,0.004380334701497901,1.2017138004302979
Phase-Hash (SWAP),1,0.7,128,32,4096,0.7097640076971257,0.00976400769712571,1.587956190109253
AE-SWAP,1,0.9,-,-,4096,0.8913100435594788,0.008689956440521174,1.2834372520446777
Phase-Hash (SWAP),1,0.9,128,32,4096,0.8934261662366529,0.006573833763347081,1.801563024520874
AE-SWAP,2,0.2,-,-,4096,0.23175620272173947,0.03175620272173946,1.1662449836730957
Phase-Hash (SWAP),2,0.2,128,32,4096,0.19842026619086658,0.0015797338091334268,1.603830099105835
AE-SWAP,2,0.5,-,-,4096,0.4921254921257382,0.007874507874261805,1.1562695503234863
Phase-Hash (SWAP),2,0.5,128,32,4096,0.5197399430131238,0.019739943013123762,1.605363130569458
AE-SWAP,2,0.7,-,-,4096,0.7146622891268295,0.014662289126829542,1.13688063621521
Phase-Hash (SWAP),2,0.7,128,32,4096,0.7073853753709787,0.0073853753709787195,1.596106767654419
AE-SWAP,2,0.9,-,-,4096,0.8915839136054441,0.008416086394555933,1.2119996547698975
Phase-Hash (SWAP),2,0.9,128,32,4096,0.9001518676845813,0.00015186768458130828,1.6214940547943115
AE-SWAP,3,0.2,-,-,4096,0.1988737822087165,0.0011262177912835236,1.334350347518921
Phase-Hash (SWAP),3,0.2,128,32,4096,0.1783952780869305,0.021604721913069502,1.8818178176879883
AE-SWAP,3,0.5,-,-,4096,0.49410588440130926,0.005894115598690741,1.2143194675445557
Phase-Hash (SWAP),3,0.5,128,32,4096,0.47767974772942084,0.022320252270579155,1.456953763961792
AE-SWAP,3,0.7,-,-,4096,0.6942143716100957,0.005785628389904263,1.200707197189331
Phase-Hash (SWAP),3,0.7,128,32,4096,0.6957297117061143,0.004270288293885649,1.537064790725708
AE-SWAP,3,0.9,-,-,4096,0.8954092988684001,0.0045907011315998725,1.1637310981750488
Phase-Hash (SWAP),3,0.9,128,32,4096,0.9013750500270489,0.001375050027048852,1.5299255847930908
AE-SWAP,4,0.2,-,-,4096,0.2153757617514097,0.0153757617514097,1.1475601196289062
Phase-Hash (SWAP),4,0.2,128,32,4096,0.1735733584380089,0.02642664156199112,1.5866641998291016
AE-SWAP,4,0.5,-,-,4096,0.49013709816744133,0.009862901832558668,1.1619997024536133
Phase-Hash (SWAP),4,0.5,128,32,4096,0.4781303748545986,0.021869625145401417,1.5978691577911377
AE-SWAP,4,0.7,-,-,4096,0.7060702204809377,0.006070220480937749,1.16011643409729
Phase-Hash (SWAP),4,0.7,128,32,4096,0.6988051050396176,0.0011948949603823866,1.5895931720733643
AE-SWAP,4,0.9,-,-,4096,0.8945909505187273,0.005409049481272743,1.1638920307159424
Phase-Hash (SWAP),4,0.9,128,32,4096,0.9024863961173583,0.002486396117358236,1.8153469562530518
AE-SWAP,5,0.2,-,-,4096,0.21423920626253262,0.014239206262532611,1.1850008964538574
Phase-Hash (SWAP),5,0.2,128,32,4096,0.17871290071119306,0.021287099288806954,1.6201655864715576
AE-SWAP,5,0.5,-,-,4096,0.49013709816744133,0.009862901832558668,1.134436845779419
Phase-Hash (SWAP),5,0.5,128,32,4096,0.48231137603886004,0.01768862396113996,1.726067066192627
AE-SWAP,5,0.7,-,-,4096,0.7001673907002525,0.00016739070025251213,1.2088730335235596
Phase-Hash (SWAP),5,0.7,128,32,4096,0.6786862304087892,0.021313769591210785,2.379300117492676
AE-SWAP,5,0.9,-,-,4096,0.8951365992126565,0.004863400787343486,1.1744399070739746
Phase-Hash (SWAP),5,0.9,128,32,4096,0.901888295421248,0.0018882954212480207,1.5890846252441406
AE-SWAP,6,0.2,-,-,4096,0.16535945694153692,0.03464054305846309,1.1992175579071045
Phase-Hash (SWAP),6,0.2,128,32,4096,0.18689020376380425,0.013109796236195764,1.616715669631958
AE-SWAP,6,0.5,-,-,4096,0.5125381083392727,0.012538108339272713,1.1933228969573975
Phase-Hash (SWAP),6,0.5,128,32,4096,0.4812846917192569,0.01871530828074308,5.566869497299194
AE-SWAP,6,0.7,-,-,4096,0.6928062274186051,0.007193772581394864,1.1958110332489014
Phase-Hash (SWAP),6,0.7,128,32,4096,0.6876550873066527,0.012344912693347254,1.7050321102142334
AE-SWAP,6,0.9,-,-,4096,0.9008459565874734,0.0008459565874733288,1.1603498458862305
Phase-Hash (SWAP),6,0.9,128,32,4096,0.8953933249189443,0.004606675081055722,1.5674028396606445
AE-SWAP,7,0.2,-,-,4096,0.19764235376052372,0.002357646239476291,1.2694191932678223
Phase-Hash (SWAP),7,0.2,128,32,4096,0.18695388567238008,0.013046114327619929,1.6497609615325928
AE-SWAP,7,0.5,-,-,4096,0.5266343608235224,0.02663436082352244,1.1495492458343506
Phase-Hash (SWAP),7,0.5,128,32,4096,0.48621092556037365,0.013789074439626348,1.4831688404083252
AE-SWAP,7,0.7,-,-,4096,0.6945659615904022,0.0054340384095977745,1.166264533996582
Phase-Hash (SWAP),7,0.7,128,32,4096,0.6866329550161095,0.013367044983890408,1.6947987079620361
AE-SWAP,7,0.9,-,-,4096,0.8978598686599151,0.0021401313400849498,1.1468510627746582
Phase-Hash (SWAP),7,0.9,128,32,4096,0.8933171582973652,0.006682841702634779,1.5636885166168213
AE-SWAP,8,0.2,-,-,4096,0.1875,0.012500000000000011,1.1695022583007812
Phase-Hash (SWAP),8,0.2,128,32,4096,0.19566343848334283,0.004336561516657178,1.5320837497711182
AE-SWAP,8,0.5,-,-,4096,0.5,0.0,1.2566258907318115
Phase-Hash (SWAP),8,0.5,128,32,4096,0.48712858331836223,0.01287141668163777,1.5000522136688232
AE-SWAP,8,0.7,-,-,4096,0.7088310138883597,0.008831013888359718,1.1662442684173584
Phase-Hash (SWAP),8,0.7,128,32,4096,0.6935864625257829,0.006413537474217024,1.7701637744903564
