Method,Rep,Dim,TrueCos,m,E,Shots,EstCos,AbsErr,Time_s,Depth,TwoQ
AE-SWAP,0,512,-0.9,-,-,2048,-0.9865346131520454,0.08653461315204536,19.26700186729431,12.0,27.0
PES-PCA (SWAP),0,512,-0.9,256,1,2048,-0.8870989549875054,0.012901045012494672,0.11099505424499512,12.0,24.0
PES-PCA (SWAP),0,512,-0.9,512,1,2048,-0.9102353006725921,0.01023530067259204,0.09946060180664062,13.0,27.0
AE-SWAP,0,512,-0.5,-,-,2048,-0.6666732160585399,0.1666732160585399,19.16200041770935,12.0,27.0
PES-PCA (SWAP),0,512,-0.5,256,1,2048,-0.4778297850205434,0.022170214979456593,0.09800004959106445,12.0,24.0
PES-PCA (SWAP),0,512,-0.5,512,1,2048,-0.5538654941445175,0.05386549414451747,0.12899994850158691,13.0,27.0
AE-SWAP,0,512,-0.25,-,-,2048,-0.333569469518697,0.08356946951869698,18.99500322341919,12.0,27.0
PES-PCA (SWAP),0,512,-0.25,256,1,2048,-0.33688985339221994,0.08688985339221994,0.08499717712402344,12.0,24.0
PES-PCA (SWAP),0,512,-0.25,512,1,2048,-0.3769623025242327,0.12696230252423268,0.11800026893615723,13.0,27.0
AE-SWAP,0,512,0.0,-,-,2048,6.123233995736766e-17,6.123233995736766e-17,19.37399959564209,12.0,27.0
PES-PCA (SWAP),0,512,0.0,256,1,2048,0.24769223372350968,0.24769223372350968,0.08799934387207031,12.0,24.0
PES-PCA (SWAP),0,512,0.0,512,1,2048,0.2823339593061274,0.2823339593061274,0.11999988555908203,13.0,27.0
AE-SWAP,0,512,0.5,-,-,2048,0.6666732160585399,0.1666732160585399,19.222999811172485,12.0,27.0
PES-PCA (SWAP),0,512,0.5,256,1,2048,0.598719028971702,0.09871902897170204,0.0859994888305664,12.0,24.0
PES-PCA (SWAP),0,512,0.5,512,1,2048,0.5895801020262756,0.08958010202627564,0.11699962615966797,13.0,27.0
AE-SWAP,0,512,0.9,-,-,2048,0.9865346131520455,0.08653461315204547,18.70500087738037,12.0,27.0
PES-PCA (SWAP),0,512,0.9,256,1,2048,0.9500548366332118,0.05005483663321175,0.10899949073791504,12.0,24.0
PES-PCA (SWAP),0,512,0.9,512,1,2048,0.8993531371625261,0.0006468628374739493,0.12000012397766113,13.0,27.0
AE-SWAP,0,1024,-0.9,-,-,2048,-0.9865346131520454,0.08653461315204536,84.97900009155273,13.0,30.0
PES-PCA (SWAP),0,1024,-0.9,256,1,2048,-0.9141039027885327,0.014103902788532685,0.09859418869018555,12.0,24.0
PES-PCA (SWAP),0,1024,-0.9,512,1,2048,-0.8653851462598451,0.03461485374015494,0.0919954776763916,13.0,27.0
AE-SWAP,0,1024,-0.5,-,-,2048,-0.6642028487409293,0.16420284874092927,85.25799775123596,13.0,30.0
PES-PCA (SWAP),0,1024,-0.5,256,1,2048,-0.5672772656425,0.06727726564250003,0.09900093078613281,12.0,24.0
PES-PCA (SWAP),0,1024,-0.5,512,1,2048,-0.3769623025242327,0.12303769747576732,0.13299965858459473,13.0,27.0
AE-SWAP,0,1024,-0.25,-,-,2048,-0.31278392708893565,0.06278392708893565,85.75499892234802,13.0,30.0
PES-PCA (SWAP),0,1024,-0.25,256,1,2048,-0.333569469518697,0.08356946951869698,0.08500027656555176,12.0,24.0
PES-PCA (SWAP),0,1024,-0.25,512,1,2048,6.123233995736766e-17,0.25000000000000006,0.12100005149841309,13.0,27.0
AE-SWAP,0,1024,0.0,-,-,2048,6.123233995736766e-17,6.123233995736766e-17,85.13999629020691,13.0,30.0
PES-PCA (SWAP),0,1024,0.0,256,1,2048,0.2568351071873622,0.2568351071873622,0.11300063133239746,12.0,24.0
PES-PCA (SWAP),0,1024,0.0,512,1,2048,0.2979982734211801,0.2979982734211801,0.13700008392333984,13.0,27.0
AE-SWAP,0,1024,0.5,-,-,2048,0.6642028487409294,0.16420284874092939,85.15575075149536,13.0,30.0
PES-PCA (SWAP),0,1024,0.5,256,1,2048,0.3621762837182867,0.1378237162817133,0.1210026741027832,12.0,24.0
PES-PCA (SWAP),0,1024,0.5,512,1,2048,0.6691251778859357,0.16912517788593573,0.1289992332458496,13.0,27.0
AE-SWAP,0,1024,0.9,-,-,2048,0.9865346131520455,0.08653461315204547,85.496999502182,13.0,30.0
PES-PCA (SWAP),0,1024,0.9,256,1,2048,0.8896276196418351,0.010372380358164901,0.1230006217956543,12.0,24.0
PES-PCA (SWAP),0,1024,0.9,512,1,2048,0.942203206023602,0.04220320602360195,0.13200020790100098,13.0,27.0
